,SNP,Lab_name,best_measure,best_P,best_OR_Beta,catalog_assoc_SNP,catalog_assoc_gene,CHR,MapInfo,gene,rsID,cases,eh_case,el_case,Mutation,MAF_W,mean_Beta,mean_P,median_Beta,median_P,first_Beta,first_P,min_Beta,min_P,max_Beta,max_P,ever_low_OR,ever_low_P,ever_high_OR,ever_high_P,Lab_cat,Lab_full_name,SNP.1,lab_name,jd_string,trait
82,rs314253,Chol,min,0.04471,-0.9589,"Cholesterol, total || LDL cholesterol || Liver enzyme levels (alkaline phosphatase)",,17,7091650.0,,rs314253,14502.0,11530.0,8.0,,0.3426,-0.6172,0.1782,-0.6155,0.1879,-0.4292,0.4861,-0.9589,0.04471,-0.1954,0.7837,0.64,0.4389,1.04,0.1728,Lipids,CHOLESTEROL BLOOD,rs314253,Chol,Hypercholesterolemia,"Cholesterol, total"
83,rs12670798,Chol,first,0.00022250000000000001,2.501,"Cholesterol, total || LDL cholesterol","MRI atrophy measures (whole-brain volume) || Total ventricular volume || Multiple cancers (lung cancer, gastric cancer, and squamous cell carcinoma) (All Cancers) || Multiple cancers (lung cancer, gastric cancer, and squamous cell carcinoma) (ESCC) || Multiple cancers (lung cancer, gastric cancer, and squamous cell carcinoma) (Lung Cancer) || Multiple cancers (lung cancer, gastric cancer, and squamous cell carcinoma) (NCGC) || Multiple myeloma || Multiple myeloma (hyperdiploidy) (HD vs. controls) || Cholesterol, total || LDL cholesterol",7,21607352.0,DNAH11,rs12670798,14502.0,11530.0,8.0,Silent,0.2421,1.599,0.0015019999999999999,1.663,0.00121,2.501,0.00022250000000000001,0.8740000000000001,0.09605,2.436,0.001852,0.72,0.6072,1.06,0.06987,Lipids,CHOLESTEROL BLOOD,rs12670798,Chol,Hypercholesterolemia,"Cholesterol, total"
85,rs7515577,Chol,max,0.026760000000000003,-1.84,"Cholesterol, total","Cholesterol, total || Multiple sclerosis",1,93009438.0,EVI5,rs7515577,14502.0,11530.0,8.0,Silent,0.2083,-0.6408,0.2309,-0.6429,0.2385,-1.516,0.03499,-0.1653,0.7668,-1.84,0.026760000000000003,1.29,0.6537,0.99,0.7594,Lipids,CHOLESTEROL BLOOD,rs7515577,Chol,Hypercholesterolemia,"Cholesterol, total"
86,rs174546,Chol,first,0.007423999999999999,-1.646,"Cholesterol, total || HDL cholesterol || Metabolic syndrome (HDL) || LDL cholesterol || Triglycerides","Cholesterol, total || HDL cholesterol || LDL cholesterol || Metabolic syndrome (HDL) || Triglycerides || Comprehensive strength and appendicular lean mass (Males + Females) || Lipid metabolism phenotypes (LA/PUFA) || Metabolic traits (SM-3 + 152 other traits) || Metabolite levels (PC aa C36:3/PC aa C36:4) || Phospholipid levels (plasma) (ALA) || Phospholipid levels (plasma) (DPA) || Resting heart rate || Hematology traits (ALB/GLB) || Metabolite levels (PC) || Comprehensive strength and appendicular lean mass (Males) || Heart rate || Metabolite levels (Glycerolphosphocholine) || Fasting glucose-related traits (FPG) || Fasting glucose-related traits (HOMA-B) || Fasting glucose-related traits (interaction with BMI) || Phospholipid levels (plasma) (EPA)",11,61569830.0,FADS1,rs174546,14502.0,11530.0,8.0,Silent,0.3369,-0.4631,0.3114,-0.4671,0.3165,-1.646,0.007423999999999999,-0.5441,0.2537,-0.5477,0.4407,1.18,0.7469,0.99,0.6782,Lipids,CHOLESTEROL BLOOD,rs174546,Chol,Hypercholesterolemia,"Cholesterol, total"
88,rs492602,Chol,first,0.02925,-1.268,"Cholesterol, total || Vitamin B12 levels","Liver enzyme levels (alkaline phosphatase) || Cholesterol, total || Vitamin B12 levels || Metabolic traits (SM-11 + 2 other traits) || Crohn's disease || Liver enzyme levels (gamma-glutamyl transferase) || Obesity-related traits (Vitamin B12 ) || Folate pathway vitamin levels (Plasma Vitamin B12) || Folate pathway vitamin levels (vitamin B12) || Tumor biomarkers (CA19-9) || Tumor biomarkers (CEA)",19,49206417.0,FUT2,rs492602,14502.0,11530.0,8.0,"Synonymous_A68A,Synonymous_A68A",0.495,-0.9084,0.03582,-0.8507,0.05387,-1.268,0.02925,-0.517,0.2517,-1.393,0.038169999999999996,1.69,0.3072,0.98,0.4251,Lipids,CHOLESTEROL BLOOD,rs492602,Chol,Hypercholesterolemia,"Cholesterol, total"
91,rs2255141,Chol,max,0.0006455,2.505,"LDL cholesterol || Cholesterol, total","Cholesterol, total || LDL cholesterol",10,113933886.0,GPAM,rs2255141,14502.0,11530.0,8.0,"Silent,Silent",0.2841,1.4909999999999999,0.0016129999999999999,1.3519999999999999,0.0050479999999999995,1.4669999999999999,0.021,1.0979999999999999,0.02582,2.505,0.0006455,0.57,0.381,0.95,0.09992999999999999,Lipids,CHOLESTEROL BLOOD,rs2255141,Chol,Hypercholesterolemia,"Cholesterol, total"
92,rs1997243,Chol,first,0.044789999999999996,1.65,"Cholesterol, total",Longevity (less than or equal to),7,1083777.0,C7orf50,rs1997243,14502.0,11530.0,8.0,"Silent,Silent,Silent",0.1473,0.9129999999999999,0.1355,0.9221,0.1392,1.65,0.044789999999999996,0.5188,0.4156,1.3330000000000002,0.1603,1.35,0.638,1.04,0.3568,Lipids,CHOLESTEROL BLOOD,rs1997243,Chol,Hypercholesterolemia,"Cholesterol, total"
93,rs9376090,Chol,first,0.04918,-1.324,"Cholesterol, total",,6,135411228.0,,rs9376090,14502.0,11530.0,8.0,,0.2538,-0.9523,0.057089999999999995,-0.9717,0.05691,-1.324,0.04918,-0.5983,0.2514,-1.36,0.08019,0.43,0.2659,0.98,0.4793,Lipids,CHOLESTEROL BLOOD,rs9376090,Chol,Hypercholesterolemia,"Cholesterol, total"
95,rs3177928,Chol,median,0.055720000000000006,1.183,"Cholesterol, total || LDL cholesterol","Non-obstructive azoospermia || Multiple sclerosis (OCB status) || Multiple sclerosis (OCB status) (OCB positive vs. controls) || Parkinson's disease || Systemic sclerosis (ATA positive) || Multiple sclerosis || Cholesterol, total || LDL cholesterol || Type 1 diabetes",6,32412435.0,HLA-DRA,rs3177928,14502.0,11530.0,8.0,Silent,0.1516,1.146,0.0589,1.183,0.055720000000000006,0.8961,0.2703,1.175,0.06323,1.114,0.23600000000000002,2.52,0.08348,0.94,0.1493,Lipids,CHOLESTEROL BLOOD,rs3177928,Chol,Hypercholesterolemia,"Cholesterol, total"
99,rs2000999,Chol,mean,2.062e-06,2.574,"LDL cholesterol || Cholesterol, total || Haptoglobin levels","Cholesterol, total || Haptoglobin levels || LDL cholesterol",16,72108093.0,HPR,rs2000999,14502.0,11530.0,8.0,Silent,0.1981,2.574,2.062e-06,2.542,4.274e-06,2.4859999999999998,0.0006506,2.3930000000000002,2.303e-05,2.903,0.0005683,0.27,0.2,1.01,0.8785,Lipids,CHOLESTEROL BLOOD,rs2000999,Chol,Hypercholesterolemia,"Cholesterol, total"
102,rs6511720,Chol,mean,1.109e-13,-4.92,"Cholesterol, total || LDL cholesterol || Carotid intima media thickness (Plaque) || Lipid metabolism phenotypes (APOB.assay, fasting) || Lipid metabolism phenotypes (LDL-C.assay, whole) || Cardiovascular disease risk factors (LDL) || Metabolite levels || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Lipid metabolism phenotypes (APOB.assay, whole) || Abdominal aortic aneurysm || Lipid metabolism phenotypes (LDL-C.assay, fasting)","Cholesterol, total || LDL cholesterol || Metabolite levels (LDL) || Cardiovascular disease risk factors (LDL) || Carotid intima media thickness (Plaque) || Lipid metabolism phenotypes (APOB.assay, fasting) || Lipid metabolism phenotypes (APOB.assay, whole) || Lipid metabolism phenotypes (LDL-C.assay, fasting) || Lipid metabolism phenotypes (LDL-C.assay, whole) || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Metabolite levels || LDL cholesterol (AA)",19,11202306.0,LDLR,rs6511720,14502.0,11530.0,8.0,"Silent,Silent,Silent,Silent,Silent,Silent",0.1211,-4.92,1.109e-13,-4.827,8.967e-13,-5.803999999999999,7.204e-11,-3.341,1.3180000000000001e-06,-6.737,5.852999999999999e-11,0.0,0.9724,0.86,0.000734,Lipids,CHOLESTEROL BLOOD,rs6511720,Chol,Hypercholesterolemia,"Cholesterol, total"
103,rs12027135,Chol,median,0.1462,-0.6428,"Cholesterol, total || LDL cholesterol","Cholesterol, total || Erythrocyte sedimentation rate || LDL cholesterol",1,25775733.0,TMEM57,rs12027135,14502.0,11530.0,8.0,Silent,0.4482,-0.5726,0.1869,-0.6428,0.1462,-0.6536,0.2625,-0.4288,0.3429,-0.5499,0.4144,0.73,0.5484,1.01,0.8081,Lipids,CHOLESTEROL BLOOD,rs12027135,Chol,Hypercholesterolemia,"Cholesterol, total"
104,rs1532085,Chol,mean,0.00022799999999999999,1.6440000000000001,"HDL cholesterol || Triglycerides || Lipid metabolism phenotypes (IDL.total, whole) || Red blood cell traits (Hgb) || Lipid metabolism phenotypes (IDL.total, fasting) || Metabolite levels || Cholesterol, total || Lipid metabolism phenotypes (HDL-C.assay, fasting) || Metabolic syndrome (HDL)",,15,58683366.0,,rs1532085,14502.0,11530.0,8.0,,0.3797,1.6440000000000001,0.00022799999999999999,1.6440000000000001,0.0003005,1.735,0.0038130000000000004,0.9962,0.032119999999999996,2.511,0.0002883,0.98,0.9719,1.02,0.5569,Lipids,CHOLESTEROL BLOOD,rs1532085,Chol,Hypercholesterolemia,"Cholesterol, total"
105,rs7241918,Chol,min,0.01679,-1.4769999999999999,"Cholesterol, total || HDL cholesterol",,18,47160953.0,,rs7241918,14502.0,11530.0,8.0,,0.1635,-1.0290000000000001,0.08261,-0.8897,0.141,-0.2926,0.7135,-1.4769999999999999,0.01679,-0.517,0.5743,0.75,0.7064,0.98,0.5381,Lipids,CHOLESTEROL BLOOD,rs7241918,Chol,Hypercholesterolemia,"Cholesterol, total"
106,rs1564348,Chol,ever_high,0.05235,1.081,"LDL cholesterol || Cholesterol, total","Metabolic traits (isobutyrylcarnitine + 3 other traits) || Cholesterol, total || LDL cholesterol",6,160578860.0,SLC22A1,rs1564348,14502.0,11530.0,8.0,"Silent,Silent",0.1629,0.3263,0.5802,0.1462,0.8079999999999999,1.4880000000000002,0.060520000000000004,-0.3045,0.6204,1.473,0.1078,0.74,0.6934,1.08,0.05235,Lipids,CHOLESTEROL BLOOD,rs1564348,Chol,Hypercholesterolemia,"Cholesterol, total"
107,rs6831256,Chol,first,0.03335,1.236,"Cholesterol, total || Triglycerides || LDL cholesterol",,4,3473139.0,DOK7,rs6831256,14502.0,11530.0,8.0,"Silent,Silent",0.4338,0.6847,0.1131,0.6368,0.1483,1.236,0.03335,0.4049,0.3686,1.131,0.09196,0.6,0.3415,1.0,0.9228,Lipids,CHOLESTEROL BLOOD,rs6831256,Chol,Hypercholesterolemia,"Cholesterol, total"
109,rs970548,Chol,first,0.1938,0.8803,"Cholesterol, total || HDL cholesterol","Red blood cell traits (EA, MCV) || Mean corpuscular hemoglobin || Mean corpuscular volume",10,46013277.0,MARCH8,rs970548,14502.0,11530.0,8.0,"Silent,Silent,Silent",0.2502,0.4358,0.3871,0.3179,0.5361,0.8803,0.1938,0.1724,0.7427,0.7361,0.3468,0.69,0.5699,0.96,0.2695,Lipids,CHOLESTEROL BLOOD,rs970548,Chol,Hypercholesterolemia,"Cholesterol, total"
110,rs4722551,Chol,min,0.0648,1.159,"Cholesterol, total || Triglycerides || LDL cholesterol",,7,25991826.0,,rs4722551,14502.0,11530.0,8.0,,0.1573,0.9644,0.1094,1.008,0.1008,1.296,0.1093,1.159,0.0648,0.5947,0.5249,1.85,0.2903,0.99,0.7758,Lipids,CHOLESTEROL BLOOD,rs4722551,Chol,Hypercholesterolemia,"Cholesterol, total"
112,rs3757354,Chol,first,0.2207,-0.8769,"Cholesterol, total || LDL cholesterol",,6,16127407.0,,rs3757354,14502.0,11530.0,8.0,,0.2087,0.03753,0.9438,0.09926,0.855,-0.8769,0.2207,0.3998,0.4714,-0.308,0.7096,0.53,0.4069,1.04,0.2445,Lipids,CHOLESTEROL BLOOD,rs3757354,Chol,Hypercholesterolemia,"Cholesterol, total"
113,rs1495741,Chol,median,0.0617,0.9858,"Bladder cancer || Triglycerides || Cholesterol, total",,8,18272881.0,,rs1495741,14502.0,11530.0,8.0,,0.2268,0.9193,0.07566,0.9858,0.0617,0.5963,0.3913,0.5428,0.3142,1.284,0.1101,0.78,0.7029,1.0,0.9632,Lipids,CHOLESTEROL BLOOD,rs1495741,Chol,Hypercholesterolemia,"Cholesterol, total"
114,rs2072183,Chol,ever_high,0.1051,0.9456,"LDL cholesterol || Cholesterol, total","Cholesterol, total || LDL cholesterol",7,44579180.0,NPC1L1,rs2072183,14502.0,11530.0,8.0,"Synonymous_L272L,Synonymous_L272L",0.2238,0.213,0.6807,0.1089,0.8364,0.2553,0.7136,0.1414,0.7932,0.9890000000000001,0.2184,1.16,0.8005,0.95,0.1051,Lipids,CHOLESTEROL BLOOD,rs2072183,Chol,Hypercholesterolemia,"Cholesterol, total"
116,rs2479409,Chol,mean,0.02114,1.043,"Cholesterol, total || LDL cholesterol",,1,55504650.0,,rs2479409,14502.0,11530.0,8.0,,0.3547,1.043,0.02114,0.9562,0.038130000000000004,1.26,0.03827,0.7803,0.09785,1.561,0.02624,1.09,0.8649,0.97,0.3415,Lipids,CHOLESTEROL BLOOD,rs2479409,Chol,Hypercholesterolemia,"Cholesterol, total"
117,rs4883201,Chol,first,0.032260000000000004,-2.0580000000000003,"Cholesterol, total",,12,9082581.0,PHC1,rs4883201,14502.0,11530.0,8.0,Silent,0.1024,-0.4903,0.4927,-0.2475,0.7342,-2.0580000000000003,0.032260000000000004,-0.9384,0.2078,-0.2151,0.8464,1.26,0.7605,1.02,0.6641,Lipids,CHOLESTEROL BLOOD,rs4883201,Chol,Hypercholesterolemia,"Cholesterol, total"
118,rs11603023,Chol,first,0.1748,0.7977,"Cholesterol, total",Glioma,11,118486067.0,PHLDB1,rs11603023,14502.0,11530.0,8.0,"Silent,Silent,Silent",0.4414,0.3337,0.4454,0.2336,0.6004,0.7977,0.1748,-0.05234,0.9086,0.8192,0.2276,0.76,0.5903,1.04,0.2054,Lipids,CHOLESTEROL BLOOD,rs11603023,Chol,Hypercholesterolemia,"Cholesterol, total"
119,rs11136341,Chol,median,0.04214,0.9513,"LDL cholesterol || Cholesterol, total","Platelet counts || Cholesterol, total || LDL cholesterol",8,145043543.0,PLEC,rs11136341,14502.0,11530.0,8.0,"Silent,Silent",0.387,0.8243,0.07236000000000001,0.9513,0.04214,1.167,0.063,0.9623,0.04388,0.5054,0.4863,0.43,0.1928,1.01,0.85,Lipids,CHOLESTEROL BLOOD,rs11136341,Chol,Hypercholesterolemia,"Cholesterol, total"
120,rs4253772,Chol,max,0.03494,2.235,"Cholesterol, total",,22,46627603.0,PPARA,rs4253772,14502.0,11530.0,8.0,"Silent,Silent",0.1133,0.7303,0.2845,0.7458,0.2837,1.4480000000000002,0.1145,0.02557,0.9713,2.235,0.03494,1.11,0.887,1.04,0.4462,Lipids,CHOLESTEROL BLOOD,rs4253772,Chol,Hypercholesterolemia,"Cholesterol, total"
121,rs9987289,Chol,mean,0.0001409,-2.8710000000000004,"LDL cholesterol || HDL Cholesterol - Triglycerides (HDLC-TG) || C-reactive protein || HDL cholesterol || Metabolic syndrome (bivariate traits) (HDLC-WC) || Cholesterol, total","HDL cholesterol (AA) || HDL cholesterol || LDL cholesterol || Fasting glucose-related traits (interaction with BMI) || Fasting insulin-related traits (interaction with BMI) || Glycemic traits (pregnancy) (FCP) || Glycemic traits (pregnancy) (FPG) || Metabolite levels || Coronary heart disease (HDL-C) || C-reactive protein || Cholesterol, total || HDL Cholesterol - Triglycerides (HDLC-TG) || Metabolic syndrome (bivariate traits) (HDLC-WC)",8,9183358.0,LOC157273,rs9987289,14502.0,11530.0,8.0,Silent,0.08944,-2.8710000000000004,0.0001409,-2.806,0.00026460000000000003,-1.814,0.07368999999999999,-2.492,0.001527,-3.188,0.006504,0.0,0.9766,0.94,0.231,Lipids,CHOLESTEROL BLOOD,rs9987289,Chol,Hypercholesterolemia,"Cholesterol, total"
122,rs13315871,Chol,max,0.005796,-3.29,"Cholesterol, total",Systemic lupus erythematosus and Systemic sclerosis (ACA) || Systemic lupus erythematosus,3,58381287.0,PXK,rs13315871,14502.0,11530.0,8.0,Silent,0.08459,-2.0580000000000003,0.007370999999999999,-2.114,0.006948,-2.339,0.02348,-1.374,0.08605,-3.29,0.005796,0.7,0.7241,1.01,0.8893,Lipids,CHOLESTEROL BLOOD,rs13315871,Chol,Hypercholesterolemia,"Cholesterol, total"
123,rs7570971,Chol,max,0.248,0.7972,"Cholesterol, total","Cholesterol, total",2,135837906.0,RAB3GAP1,rs7570971,14502.0,11530.0,8.0,"Silent,Silent",0.3224,0.2621,0.5554,0.1778,0.6948,0.3483,0.5599,0.0465,0.92,0.7972,0.248,0.68,0.4908,1.02,0.545,Lipids,CHOLESTEROL BLOOD,rs7570971,Chol,Hypercholesterolemia,"Cholesterol, total"
125,rs629301,Chol,mean,3.133e-15,-4.15,"Cholesterol, total || LDL cholesterol","Cholesterol, total || LDL cholesterol || Cardiovascular disease risk factors (LDL) || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Coronary heart disease (LDL-C) || Lipoprotein-associated phospholipase A2 activity and mass (activity)",1,109818306.0,CELSR2,rs629301,14502.0,11530.0,8.0,Silent,0.221,-4.15,3.133e-15,-4.0889999999999995,2.527e-14,-5.0280000000000005,1.2090000000000002e-12,-2.41,1.138e-05,-6.351,7.043000000000001e-15,1.63,0.3717,0.95,0.1257,Lipids,CHOLESTEROL BLOOD,rs629301,Chol,Hypercholesterolemia,"Cholesterol, total"
126,rs10102164,Chol,median,0.03478,1.171,"Cholesterol, total || LDL cholesterol",,8,55421614.0,,rs10102164,14502.0,11530.0,8.0,,0.1984,1.068,0.04966,1.171,0.03478,1.32,0.07096000000000001,0.6871,0.2255,1.433,0.0898,0.28,0.2139,1.0,0.9666,Lipids,CHOLESTEROL BLOOD,rs10102164,Chol,Hypercholesterolemia,"Cholesterol, total"
127,rs10128711,Chol,first,0.1289,-1.0590000000000002,"Cholesterol, total","Cholesterol, total",11,18632984.0,SPTY2D1,rs10128711,14502.0,11530.0,8.0,Silent,0.261,-0.7241,0.1553,-0.7068,0.1741,-1.0590000000000002,0.1289,-0.6652,0.2099,-0.9367,0.2451,1.59,0.4068,1.01,0.7911,Lipids,CHOLESTEROL BLOOD,rs10128711,Chol,Hypercholesterolemia,"Cholesterol, total"
128,rs11220462,Chol,max,0.025169999999999998,2.22,"LDL cholesterol || Cholesterol, total","Liver enzyme levels (alkaline phosphatase) || Coronary heart disease || Cholesterol, total || LDL cholesterol",11,126243952.0,ST3GAL4,rs11220462,14502.0,11530.0,8.0,"Silent,Silent",0.1315,1.138,0.07462,0.9018,0.1658,1.639,0.05602000000000001,0.4015,0.5457,2.22,0.025169999999999998,0.94,0.9317,1.08,0.08426,Lipids,CHOLESTEROL BLOOD,rs11220462,Chol,Hypercholesterolemia,"Cholesterol, total"
129,rs6882076,Chol,median,6.489e-05,-1.834,"Cholesterol, total || LDL cholesterol || Triglycerides",,5,156390297.0,,rs6882076,14502.0,11530.0,8.0,,0.3668,-1.6669999999999998,0.00021390000000000002,-1.834,6.489e-05,-2.049,0.0007157,-1.4569999999999999,0.001898,-1.597,0.02242,0.39,0.1456,1.01,0.6554,Lipids,CHOLESTEROL BLOOD,rs6882076,Chol,Hypercholesterolemia,"Cholesterol, total"
130,rs138777,Chol,first,0.3743,-0.546,"Cholesterol, total",,22,35711098.0,TOM1,rs138777,14502.0,11530.0,8.0,"Silent,Silent,Silent,Silent,Silent,Silent",0.3417,-0.3361,0.4623,-0.2529,0.5875,-0.546,0.3743,-0.2547,0.5928,-0.503,0.4786,0.65,0.4522,1.0,0.9817,Lipids,CHOLESTEROL BLOOD,rs138777,Chol,Hypercholesterolemia,"Cholesterol, total"
131,rs6029526,Chol,min,0.2447,-0.5254,"LDL cholesterol || Cholesterol, total","Cholesterol, total || LDL cholesterol",20,39672618.0,TOP1,rs6029526,14502.0,11530.0,8.0,Silent,0.4812,-0.39399999999999996,0.3633,-0.308,0.4858,0.08811000000000001,0.8798,-0.5254,0.2447,-0.5817,0.3873,1.38,0.5256,0.99,0.6542,Lipids,CHOLESTEROL BLOOD,rs6029526,Chol,Hypercholesterolemia,"Cholesterol, total"
132,rs2954029,Chol,max,0.001181,-2.174,"LDL cholesterol || Triglycerides || Cholesterol, total || HDL cholesterol",,8,126490972.0,,rs2954029,14502.0,11530.0,8.0,,0.4515,-0.5133,0.2344,-0.3967,0.3675,-0.6011,0.3003,0.5142,0.253,-2.174,0.001181,0.57,0.2865,0.92,0.002332,Lipids,CHOLESTEROL BLOOD,rs2954029,Chol,Hypercholesterolemia,"Cholesterol, total"
133,rs581080,Chol,median,0.3524,-0.5248,"Cholesterol, total || HDL cholesterol","HDL cholesterol || Cholesterol, total || Bipolar disorder and schizophrenia",9,15305378.0,TTC39B,rs581080,14502.0,11530.0,8.0,"Silent,Silent,Silent,Silent",0.188,-0.4973,0.369,-0.5248,0.3524,-0.5486,0.461,-0.4311,0.4548,-0.5669,0.5095,0.0,0.965,0.97,0.4215,Lipids,CHOLESTEROL BLOOD,rs581080,Chol,Hypercholesterolemia,"Cholesterol, total"
134,rs7941030,Chol,ever_high,0.06954,0.9470000000000001,"Cholesterol, total || HDL cholesterol",,11,122522375.0,,rs7941030,14502.0,11530.0,8.0,,0.3851,-0.2394,0.5924,-0.2609,0.5672,-0.058289999999999995,0.9228,-0.07279,0.8759,-0.5625,0.4179,1.62,0.3336,0.95,0.06954,Lipids,CHOLESTEROL BLOOD,rs7941030,Chol,Hypercholesterolemia,"Cholesterol, total"
136,rs10904908,Chol,max,0.01445,1.6669999999999998,"Cholesterol, total",,10,17260290.0,,rs10904908,14502.0,11530.0,8.0,,0.4105,0.8873,0.043269999999999996,0.7986,0.07441,1.14,0.05334,0.593,0.1949,1.6669999999999998,0.01445,0.85,0.7535,1.01,0.7703,Lipids,CHOLESTEROL BLOOD,rs10904908,Chol,Hypercholesterolemia,"Cholesterol, total"
137,rs3780181,Chol,first,0.012240000000000001,-2.891,"Cholesterol, total || LDL cholesterol",,9,2640759.0,VLDLR,rs3780181,14502.0,11530.0,8.0,"Silent,Silent",0.06842,-1.141,0.1836,-0.8716,0.3194,-2.891,0.012240000000000001,-1.5,0.0936,-1.7180000000000002,0.1974,0.92,0.9359999999999999,0.99,0.8017,Lipids,CHOLESTEROL BLOOD,rs3780181,Chol,Hypercholesterolemia,"Cholesterol, total"
155,rs635634,Chol,max,0.0004274,3.05,"Cholesterol, total || LDL cholesterol",,9,136155000.0,,rs635634,14502.0,11530.0,8.0,,0.1852,1.671,0.00274,1.405,0.01346,1.589,0.03403,1.037,0.07432000000000001,3.05,0.0004274,1.0,0.9956,1.11,0.0073549999999999996,Lipids,CHOLESTEROL BLOOD,rs635634,Chol,Hypercholesterolemia,"Cholesterol, total"
186,rs2737229,Chol,first,0.4435,-0.484,"Cholesterol, total","HDL cholesterol || Major depressive disorder || Cholesterol, total",8,116648565.0,TRPS1,rs2737229,14502.0,11530.0,8.0,Silent,0.3069,-0.2471,0.599,-0.2254,0.6381,-0.484,0.4435,-0.2572,0.5993,-0.02072,0.9773,1.03,0.9615,0.99,0.7063,Lipids,CHOLESTEROL BLOOD,rs2737229,Chol,Hypercholesterolemia,"Cholesterol, total"
